                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.3045,                 3.6518,                   1.86,                0.01324,                0.73016,                0.30079,                0.11378,                 1.7023,                  6.509,                 2.8153,               0.070882,              0.0032353,              0.0032353
                      1,                  1.256,                 3.3758,                 1.8079,                 0.8781,                0.17857,                0.34586,                0.15762,                 1.6254,                 5.9173,                 2.8906,               0.040232,              0.0059183,              0.0059183
                      2,                 1.2366,                 3.1976,                 1.7932,                0.31652,                0.30952,                0.31639,                0.13973,                 1.7525,                 5.7344,                 3.1818,              0.0089218,              0.0079414,              0.0079414
                      3,                 1.2742,                 3.1283,                 1.7725,                 0.3112,                0.34492,                0.36056,                   0.16,                 1.9362,                 5.8883,                 3.1609,                0.00703,                0.00703,                0.00703
                      4,                 1.2643,                 3.0324,                 1.7584,                0.33491,                0.40843,                0.36292,                0.16461,                 1.8934,                 6.9661,                  2.967,                0.00703,                0.00703,                0.00703
                      5,                 1.1879,                 2.9736,                 1.7024,                0.33382,                0.39232,                0.37399,                0.11287,                 2.3141,                 6.3678,                  3.598,                0.00604,                0.00604,                0.00604
                      6,                 1.1652,                 2.9965,                 1.7167,                0.26271,                0.28571,                0.34183,                0.10788,                 2.3735,                 6.2629,                 3.5292,                0.00505,                0.00505,                0.00505
                      7,                 1.1083,                 2.8322,                 1.6271,                0.48345,                0.34524,                0.51655,                 0.2167,                 1.7236,                 5.4205,                 2.8187,                0.00406,                0.00406,                0.00406
                      8,                 1.0795,                 2.8147,                 1.6312,                0.57687,                0.49353,                0.47337,                0.23186,                 1.7898,                 5.0823,                 3.0886,                0.00307,                0.00307,                0.00307
                      9,                 1.0751,                 2.7096,                 1.6062,                0.46237,                0.46825,                0.48517,                 0.2534,                 1.6834,                  4.757,                 2.8559,                0.00208,                0.00208,                0.00208
